SuperWEB2(tm)

"Census 2022-Person-2Cv1"
"Scotland's Census 2022 - National Records of Scotland Table UV201 - Ethnic group  All people "
"Intermediate Zone - Data Zone 2011 by Ethnic Group by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Ethnic Group","All People","White: Total","White: White Scottish","White: Other White British","White: White Irish","White: Gypsy/ Traveller","White: White Polish","Other White","Mixed or multiple ethnic group","Asian, Asian Scottish or Asian British: Total","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian","African: Total","African: African, African Scottish or African British","African: Other African","Caribbean or Black: Total","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British","Caribbean or Black: Other Caribbean or Black","Other ethnic groups: Total","Other ethnic groups: Arab, Arab Scottish or Arab British","Other ethnic groups: Other ethnic group",
"Intermediate Zone - Data Zone 2011",
"S01006612",749,713,613,32,2,1,41,25,9,4,0,6,0,0,1,16,0,16,3,3,0,0,2,1,2,
"S01006613",476,420,386,25,3,0,0,5,5,31,6,16,1,3,2,16,0,16,1,0,0,1,3,1,2,
"S01006614",610,555,492,46,2,2,5,10,13,17,6,8,0,1,1,22,0,22,0,0,0,0,0,0,0,
"S01006615",767,671,588,44,7,2,6,24,3,34,0,27,0,4,6,59,5,54,0,0,0,0,0,0,0,
"S01006616",639,601,544,35,2,0,4,15,1,14,0,9,0,5,0,15,1,14,0,0,0,0,6,0,6,
"S01006617",745,727,634,49,3,1,23,17,4,4,0,0,0,0,4,8,0,8,1,0,1,0,0,0,0,
"S01006618",431,425,377,25,6,0,10,13,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
"S01006619",735,682,593,46,2,0,17,26,15,14,1,8,0,0,3,16,1,15,0,0,0,0,4,0,4,
"S01006620",748,717,640,35,2,0,17,19,1,20,3,8,4,3,1,12,0,12,1,1,0,0,1,1,0,
"S01006621",464,432,383,13,0,0,32,15,6,8,0,5,1,2,0,14,1,13,0,0,0,2,4,4,0,
"S01006622",589,532,472,27,5,0,15,13,15,22,10,5,0,6,1,19,0,19,0,0,0,0,1,0,1,
"S01006623",967,896,694,47,5,0,85,65,17,17,0,6,0,2,6,26,0,25,6,3,0,5,5,0,4,
"S01006624",925,817,616,49,8,2,87,58,17,37,1,0,1,4,27,46,0,44,3,0,0,3,5,0,5,
"S01006625",519,473,380,23,2,0,29,35,5,19,6,2,2,2,4,27,0,27,0,0,0,0,0,1,1,
"S01006626",487,459,371,16,6,0,40,28,4,6,0,0,0,1,5,17,2,15,0,0,0,0,1,0,1,
"S01006627",669,589,396,46,9,0,85,50,16,17,0,1,0,1,12,37,0,37,2,0,0,2,9,2,7,
"S01006628",766,627,406,57,7,0,72,88,12,45,1,26,9,1,11,62,1,63,5,4,0,4,15,7,8,
"S01006629",852,769,569,30,0,0,98,72,12,52,10,3,0,17,19,9,1,9,1,0,0,1,11,0,11,
"S01006630",681,639,515,18,2,7,73,19,10,9,0,1,0,3,5,16,8,8,0,0,0,0,11,6,5,
"S01006631",909,852,638,48,7,4,94,60,14,12,1,2,0,0,7,21,4,17,3,0,0,3,7,7,0,
"S01006632",636,587,406,33,3,1,107,37,5,30,6,3,5,8,9,14,0,14,0,0,0,0,0,0,0,
"S01006633",628,577,434,23,2,0,65,54,9,8,0,0,2,6,1,26,3,23,0,0,0,0,4,4,0,
"S01006634",538,487,325,13,2,0,93,52,6,19,0,8,0,1,6,11,0,11,0,0,0,0,14,13,1,
"S01006635",615,586,409,25,0,5,88,55,3,8,0,0,7,1,0,16,4,8,2,0,0,2,1,0,1,
"S01006636",808,756,551,29,4,0,116,56,12,19,7,0,10,0,3,14,0,14,2,2,0,0,8,1,4,
"S01006637",585,501,344,58,9,2,17,67,12,35,7,13,0,11,2,28,0,28,2,0,0,2,8,8,3,
"S01006638",747,619,413,66,14,1,36,85,12,57,6,11,18,8,14,40,8,35,5,2,0,2,14,4,10,
"S01006639",922,783,556,67,9,0,47,104,23,70,11,23,8,15,19,30,6,25,1,0,0,1,15,8,7,
"S01006640",930,659,432,67,25,2,32,102,20,88,15,32,3,19,21,84,7,77,1,0,0,1,78,60,14,
"S01006641",994,753,473,77,13,0,64,123,38,70,8,38,2,12,11,106,3,103,4,0,0,4,21,8,13,
